sample_id	strain	collection_date	country	division	location	usvi_sample_id	seq_platform
VI1	USVI/1/2016	2016-09-28	usvi	saint_croix	saint_croix	16VI2395U	minion
VI1_1d	USVI/1/2016	2016-09-28	usvi	saint_croix	saint_croix	16VI2395U	minion
VI1	USVI/1/2016	2016-09-28	usvi	saint_croix	saint_croix	16VI2395U	miseq
VI2	USVI/2/2016	2016-09-28	usvi	saint_croix	saint_croix	16VI2392U	minion
VI3	USVI/3/2016	2016-09-26	usvi	saint_thomas	saint_thomas	16VI2388U	minion
VI4	USVI/4/2016	2016-10-14	usvi	saint_thomas	saint_thomas	16VI24623	minion
VI4_1d	USVI/4/2016	2016-10-14	usvi	saint_thomas	saint_thomas	16VI24623	minion
VI4	USVI/4/2016	2016-10-14	usvi	saint_thomas	saint_thomas	16VI24623	miseq
VI5	USVI/5/2016	2016-10-17	usvi	saint_thomas	saint_thomas	16VI24624	minion
VI6	USVI/6/2016	2016-10-19	usvi	saint_john	saint_john	16VI24712U	miseq
VI7	USVI/7/2016	2016-10-27	usvi	saint_thomas	saint_thomas	16VI24751	miseq
VI8	USVI/8/2016	2016-10-21	usvi	saint_thomas	saint_thomas	16VI24780	miseq
VI9	USVI/9/2016	2016-10-21	usvi	saint_john	saint_john	16VI24808U	minion
VI9	USVI/9/2016	2016-10-21	usvi	saint_john	saint_john	16VI24808U	miseq
VI10	USVI/10/2016	2016-02-22	usvi	saint_croix	saint_croix	16VI0283	miseq
VI11	USVI/11/2016	2016-03-22	usvi	saint_thomas	saint_thomas	16VI0569	miseq
VI12	USVI/12/2016	2016-11-04	usvi	saint_croix	saint_croix	16VI24941	miseq
VI13	USVI/13/2016	2016-08-13	usvi	saint_thomas	saint_thomas	16VI1611	miseq
VI14	USVI/14/2016	2016-09-03	usvi	saint_john	saint_john	16VI2010	miseq
VI15	USVI/15/2016	2016-09-13	usvi	saint_thomas	saint_thomas	16VI2107	minion
VI15_1d	USVI/15/2016	2016-09-13	usvi	saint_thomas	saint_thomas	16VI2107	minion
VI16	USVI/16/2016	2016-10-19	usvi	saint_croix	saint_croix	16VI24670	minion
VI17	USVI/17/2016	2016-08-22	usvi	saint_thomas	saint_thomas	16VI1658	minion
VI18	USVI/18/2016	2016-07-22	usvi	saint_thomas	saint_thomas	16VI1311	minion
VI19	USVI/19/2016	2016-11-21	usvi	saint_croix	saint_croix	16VI25159	minion
VI19_12plex	USVI/19/2016	2016-11-21	usvi	saint_croix	saint_croix	16VI25159	minion
VI20	USVI/20/2016	2016-10-13	usvi	saint_croix	saint_croix	16VI2487	minion
VI20_12plex	USVI/20/2016	2016-10-13	usvi	saint_croix	saint_croix	16VI2487	minion
VI21	USVI/21/2016	2016-11-07	usvi	saint_john	saint_john	16VI25001	minion
VI21_12plex	USVI/21/2016	2016-11-07	usvi	saint_john	saint_john	16VI25001	minion
VI22	USVI/22/2016	2016-09-07	usvi	saint_thomas	saint_thomas	16VI2007	minion
VI22_1d	USVI/22/2016	2016-09-07	usvi	saint_thomas	saint_thomas	16VI2007	minion
VI23	USVI/23/2016	2016-07-12	usvi	saint_thomas	saint_thomas	16VI1205	minion
VI23_1d	USVI/23/2016	2016-07-12	usvi	saint_thomas	saint_thomas	16VI1205	minion
VI23_12plex	USVI/23/2016	2016-07-12	usvi	saint_thomas	saint_thomas	16VI1205	minion
VI24	USVI/24/2016	2016-09-13	usvi	saint_thomas	saint_thomas	16VI2101	minion
VI26	USVI/26/2016	2016-08-26	usvi	saint_thomas	saint_thomas	16VI1803	minion
VI27	USVI/27/2016	2016-08-19	usvi	saint_thomas	saint_thomas	16VI1721	minion
VI27_1d	USVI/27/2016	2016-08-19	usvi	saint_thomas	saint_thomas	16VI1721	minion
VI28	USVI/28/2016	2016-11-28	usvi	saint_croix	saint_croix	16VI25201	minion
VI28_1d	USVI/28/2016	2016-11-28	usvi	saint_croix	saint_croix	16VI25201	minion
VI29	USVI/29/2016	2016-09-14	usvi	saint_thomas	saint_thomas	16VI2099	minion
VI25	USVI/25/2016	2016-09-27	usvi	saint_thomas	saint_thomas	16VI2337	minion
VI25_1d	USVI/25/2016	2016-09-27	usvi	saint_thomas	saint_thomas	16VI2337	minion
VI25_12plex	USVI/25/2016	2016-09-27	usvi	saint_thomas	saint_thomas	16VI2337	minion
VI30	USVI/30/2016	2016-08-07	usvi	saint_croix	saint_croix	16VI1500	minion
VI30_1d	USVI/30/2016	2016-08-07	usvi	saint_croix	saint_croix	16VI1500	minion
VI30_12plex	USVI/30/2016	2016-08-07	usvi	saint_croix	saint_croix	16VI1500	minion
VI31	USVI/31/2016	2016-05-03	usvi	saint_thomas	saint_thomas	16VI0788	minion
VI32	USVI/32/2016	2016-08-11	usvi	saint_croix	saint_croix	16VI1442	minion
VI32_12plex	USVI/32/2016	2016-08-11	usvi	saint_croix	saint_croix	16VI1442	minion
VI33	USVI/33/2016	2016-09-01	usvi	saint_thomas	saint_thomas	16VI1841	minion
VI34	USVI/34/2016	2016-08-01	usvi	saint_thomas	saint_thomas	16VI1361	minion
VI35	USVI/35/2016	2016-09-08	usvi	saint_thomas	saint_thomas	16VI1923	minion
VI36	USVI/36/2016	2016-09-13	usvi	saint_croix	saint_croix	16VI2035	minion
VI37	USVI/37/2016	2016-10-06	usvi	saint_croix	saint_croix	16VI2459	minion
VI38	USVI/38/2016	2016-10-25	usvi	saint_thomas	saint_thomas	16VI24767	minion
VI38_12plex	USVI/38/2016	2016-10-25	usvi	saint_thomas	saint_thomas	16VI24767	minion
VI37_12plex	USVI/37/2016	2016-10-06	usvi	saint_croix	saint_croix	16VI2459	minion
VI39	USVI/39/2016	2016-11-09	usvi	saint_croix	saint_croix	16VI25011	minion
VI39_12plex	USVI/39/2016	2016-11-09	usvi	saint_croix	saint_croix	16VI25011	minion
VI40	USVI/40/2016	2016-11-05	usvi	saint_thomas	saint_thomas	16VI25005	minion
VI41	USVI/41/2016	2016-11-10	usvi	saint_croix	saint_croix	16VI25014	minion
VI41_12plex	USVI/41/2016	2016-11-10	usvi	saint_croix	saint_croix	16VI25014	minion
VI42	USVI/42/2016	2016-10-26	usvi	saint_croix	saint_croix	16VI24817	minion
VI43	USVI/43/2016	2016-07-19	usvi	saint_thomas	saint_thomas	16VI1249	minion
VI43_12plex	USVI/43/2016	2016-07-19	usvi	saint_thomas	saint_thomas	16VI1249	minion
VI44	USVI/44/2016	2016-10-17	usvi	saint_thomas	saint_thomas	16VI24631	minion
VI45	USVI/45/2016	2016-08-03	usvi	saint_thomas	saint_thomas	16VI1390	minion
VI46	USVI/46/2016	2016-07-15	usvi	saint_thomas	saint_thomas	16VI1278	minion
COL01	COL/FH01/2016	2016-02-24	colombia	cordoba	monteria	Z001	minion
COL02	COL/FH02/2016	2016-02-29	colombia	cordoba	monteria	Z002	minion
COL03	COL/FH03/2016	2016-03-09	colombia	tolima	ibague	Z003	minion
COL04	Aedes_aegypti/COL/FH04/2016	2016-01-29	colombia	cordoba	monteria	Z008	minion
COL05	COL/FH05/2016	2016-07-27	colombia	risaralda	belen_de_umbria	GVI-484095	minion
COL06	COL/FH06/2016	2016-05-03	colombia	atlantico	barranquilla	GVI-477794	minion
COL07	COL/FH07/2016	2016-05-16	colombia	huila	pitalito	GVI-479424	minion
COL08	COL/FH08/2016	2016-08-25	colombia	valle_del_cauca	cali	vezcal0341	minion
COL09	COL/FH09/2016	2016-11-02	colombia	valle_del_cauca	cali	vezcal0665	minion
COL10	COL/FH10/2015	2015-12-16	colombia	cundinamarca	girardot	GVI-460359	minion
COL11	COL/FH11/2015	2016-02-10	colombia	narino	taminango	GVI-462691	minion
COL12	COL/FH12/2015	2016-03-22	colombia	putumayo	villagarzon	GVI-472720	minion
COL13	COL/FH13/2015	2016-04-01	colombia	san_andres	san_andres	GVI-473090	minion
COL14	COL/FH14/2015	2016-05-26	colombia	meta	villavicencio	GVI-480350	minion
COL15	COL/FH15/2015	2016-05-12	colombia	imported	imported	GVI-481434	minion
COL16	COL/FH16/2015	2016-06-22	colombia	valle_del_cauca	cali	GVI-484286	minion
COL17	COL/FH17/2015	2016-06-27	colombia	atlantico	barranquilla	vezbar00126	minion
COL18	COL/FH18/2015	2016-08-08	colombia	atlantico	barranquilla	vezbar00283	minion
COL19	COL/FH19/2015	2016-08-30	colombia	valle_del_cauca	cali	vezcal0403	minion
neg_control_6	NEG	XXXX-XX-XX	na	na	na	library7negative	minion
neg_control_7	NEG	XXXX-XX-XX	na	na	na	library8negative	minion
